fighter_id,first,last,nickname,url
396,Derek,Bohi,Marshmallow,http://ufcstats.com/fighter-details/70a1c7626b5e0599
397,Jerry,Bohlander,,http://ufcstats.com/fighter-details/93892752c5fc23ca
398,Mandy,Bohm,Monster,http://ufcstats.com/fighter-details/297a2b35444c245b
399,Kotetsu,Boku,,http://ufcstats.com/fighter-details/d227958e8a0c1466
400,Gaston,Bolanos,The Dreamkiller,http://ufcstats.com/fighter-details/96924b0019b3aff1
401,Kyle,Bolt,,http://ufcstats.com/fighter-details/9d455d5cfe6a0e35
402,Denys,Bondar,Psycho,http://ufcstats.com/fighter-details/2526be54e6a0e62a
403,Luc,Bondole,,http://ufcstats.com/fighter-details/8691881b31c16b88
404,Tony,Bonello,The Gun,http://ufcstats.com/fighter-details/702a72aa7a266d86
405,Gabriel,Bonfim,Marretinha,http://ufcstats.com/fighter-details/01641ba5df0c69b0
406,Ismael,Bonfim,Marreta,http://ufcstats.com/fighter-details/eb393afdbe3293d5
407,Jesse,Bongfeldt,Water,http://ufcstats.com/fighter-details/934de214814b8ff4
408,Marcos,Bonilla,Murder Marx,http://ufcstats.com/fighter-details/d311fbefff44a39b
409,Stephan,Bonnar,The American Psycho,http://ufcstats.com/fighter-details/c6a33ff198aaaeeb
410,Rogerio,Bontorin,,http://ufcstats.com/fighter-details/07a2bdaa0afdd831
411,Ray,Borg,The Tazmexican Devil,http://ufcstats.com/fighter-details/a4de54ea806fb525
412,Igor,Borisov,,http://ufcstats.com/fighter-details/0313bf497de9c470
413,Kevin,Borjas,El Gallo Negro,http://ufcstats.com/fighter-details/34b96d52db1d26e6
414,Calen,Born,,http://ufcstats.com/fighter-details/3c85e04b08a05751
415,Caio,Borralho,The Natural,http://ufcstats.com/fighter-details/4126a78111c0855a
416,Zachary,Borrego,The Dragon,http://ufcstats.com/fighter-details/b8fdb2903a2582a8
417,Viacheslav,Borshchev,Slava Claus,http://ufcstats.com/fighter-details/19c591115a58982c
418,Tanner,Boser,The Bulldozer,http://ufcstats.com/fighter-details/04c8b08b16a5b99e
419,Steve,Bosse,The Boss,http://ufcstats.com/fighter-details/e023fa2e648ea0f1
420,Marcus,Bossett,The Grasshopper,http://ufcstats.com/fighter-details/e8fb8e53bc2e29d6
421,Chris,Bostick,,http://ufcstats.com/fighter-details/239224bedeb2c7a4
422,Poliana,Botelho,,http://ufcstats.com/fighter-details/5c126c6aac3ef364
423,Francois,Botha,White Buffalo,http://ufcstats.com/fighter-details/545d549d6bf87187
